Vivado Simulator 2018.2
Time resolution is 1 ps
T =   30.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =  710.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T =  720.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T =  730.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T =  741.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T =  750.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T =  760.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T =  770.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T =  780.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T =  790.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T =  800.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T =  810.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T =  821.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T =  830.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T =  840.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T =  850.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T =  861.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T =  870.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T =  880.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T =  890.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T =  901.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T =  910.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T =  920.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T =  930.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T =  941.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T =  950.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T =  960.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T =  970.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T =  981.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T =  990.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 1000.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 1010.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 1020.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 1030.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 1040.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 1050.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 1061.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 1070.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 1080.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 1090.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T = 1101.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T = 1110.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T = 1120.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T = 1130.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T = 1141.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T = 1150.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T = 1160.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T = 1170.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T = 1181.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T = 1190.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T = 1200.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T = 1210.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T = 1221.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T = 1230.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 1240.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 1250.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 1260.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 1270.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 1280.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 1290.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 1301.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 1310.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 1320.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 1330.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T = 1341.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T = 1350.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T = 1360.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T = 1370.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T = 1381.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T = 1390.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T = 1400.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T = 1410.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T = 1421.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T = 1430.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T = 1440.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T = 1450.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T = 1461.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T = 1470.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 1480.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 1490.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 1500.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 1510.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 1520.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 1530.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 1541.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 1550.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 1560.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 1570.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T = 1581.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T = 1590.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T = 1600.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T = 1610.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T = 1621.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T = 1630.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T = 1640.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T = 1650.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T = 1661.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T = 1670.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T = 1680.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T = 1690.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T = 1701.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T = 1710.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 1720.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 1730.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 1740.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 1750.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 1760.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 1770.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 1781.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 1790.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 1800.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 1810.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T = 1821.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T = 1830.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T = 1840.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T = 1850.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T = 1861.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T = 1870.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T = 1880.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T = 1890.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T = 1901.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T = 1910.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T = 1920.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T = 1930.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T = 1941.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T = 1950.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 1960.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 1970.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 1980.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 1990.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 2000.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 2010.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 2021.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 2030.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 2040.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 2050.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T = 2061.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T = 2070.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T = 2080.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T = 2090.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T = 2101.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T = 2110.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T = 2120.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T = 2130.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T = 2141.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T = 2150.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T = 2160.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T = 2170.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T = 2181.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T = 2190.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 2200.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 2210.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 2220.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 2230.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 2240.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 2250.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 2261.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 2270.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 2280.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 2290.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T = 2301.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T = 2310.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T = 2320.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T = 2330.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T = 2341.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T = 2350.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T = 2360.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T = 2370.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T = 2381.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T = 2390.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T = 2400.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T = 2410.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T = 2421.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T = 2430.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 2440.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 2450.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 2460.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 2470.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 2480.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 2490.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 2501.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 2510.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 2520.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 2530.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T = 2541.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T = 2550.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T = 2560.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T = 2570.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T = 2581.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T = 2590.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T = 2600.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T = 2610.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T = 2621.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T = 2630.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T = 2640.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T = 2650.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T = 2661.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T = 2670.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 2680.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 2690.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 2700.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 2710.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 2720.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 2730.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 2741.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 2750.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 2760.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 2770.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T = 2781.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T = 2790.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T = 2800.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T = 2810.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 0002182a
T = 2821.0 ps | State = SLT    | Next State = WB_alu | PC = 00000028 | IR = 0002182a
T = 2830.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000028 | IR = 0002182a
T = 2840.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 0002182a
T = 2850.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 1460fffa
T = 2861.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000002c | IR = 1460fffa
T = 2870.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000002c | IR = 1460fffa
T = 2880.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1460fffa
T = 2890.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010840
T = 2901.0 ps | State = SLL    | Next State = WB_alu | PC = 00000018 | IR = 00010840
T = 2910.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010840
T = 2920.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010840
T = 2930.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T = 2940.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T = 2950.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T = 2960.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T = 2970.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T = 2981.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T = 2990.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T = 3000.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T = 3010.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
