Vivado Simulator 2018.2
Time resolution is 1 ps
T =   30.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =   40.0 ps | State = FETCH  | Next State = DECODE | PC = 00000000 | IR = 00000000
T =   50.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000004 | IR = 3c018000
T =   61.0 ps | State = LUI    | Next State = WB_imm | PC = 00000004 | IR = 3c018000
T =   70.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000004 | IR = 3c018000
T =   80.0 ps | State = FETCH  | Next State = DECODE | PC = 00000004 | IR = 3c018000
T =   90.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000008 | IR = 3421ffff
T =  101.0 ps | State = ORI    | Next State = WB_imm | PC = 00000008 | IR = 3421ffff
T =  110.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000008 | IR = 3421ffff
T =  120.0 ps | State = FETCH  | Next State = DECODE | PC = 00000008 | IR = 3421ffff
T =  130.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000000c | IR = 20020010
T =  141.0 ps | State = ADDI   | Next State = WB_imm | PC = 0000000c | IR = 20020010
T =  150.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000000c | IR = 20020010
T =  160.0 ps | State = FETCH  | Next State = DECODE | PC = 0000000c | IR = 20020010
T =  170.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000010 | IR = 3c0f1001
T =  181.0 ps | State = LUI    | Next State = WB_imm | PC = 00000010 | IR = 3c0f1001
T =  190.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000010 | IR = 3c0f1001
T =  200.0 ps | State = FETCH  | Next State = DECODE | PC = 00000010 | IR = 3c0f1001
T =  210.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000014 | IR = 35ef00c0
T =  221.0 ps | State = ORI    | Next State = WB_imm | PC = 00000014 | IR = 35ef00c0
T =  230.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000014 | IR = 35ef00c0
T =  240.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 35ef00c0
T =  250.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010843
T =  261.0 ps | State = SRA    | Next State = WB_alu | PC = 00000018 | IR = 00010843
T =  270.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010843
T =  280.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010843
T =  290.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T =  300.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T =  310.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T =  320.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T =  330.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T =  341.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T =  350.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T =  360.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T =  370.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T =  381.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T =  390.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T =  400.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T =  410.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 1440fffb
T =  421.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000028 | IR = 1440fffb
T =  430.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000028 | IR = 1440fffb
T =  440.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1440fffb
T =  450.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010843
T =  461.0 ps | State = SRA    | Next State = WB_alu | PC = 00000018 | IR = 00010843
T =  470.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000018 | IR = 00010843
T =  480.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 00010843
T =  490.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = ade10000
T =  500.0 ps | State = SW     | Next State = WB_mem | PC = 0000001c | IR = ade10000
T =  510.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000001c | IR = ade10000
T =  520.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = ade10000
T =  530.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 21ef0004
T =  541.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000020 | IR = 21ef0004
T =  550.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 21ef0004
T =  560.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 21ef0004
T =  570.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 2042ffff
T =  581.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000024 | IR = 2042ffff
T =  590.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 2042ffff
T =  600.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 2042ffff
T =  610.0 ps | State = DECODE | Next State = R-Type | PC = 00000028 | IR = 1440fffb
T =  621.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000028 | IR = 1440fffb
T =  630.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000028 | IR = 1440fffb
T =  640.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 1440fffb
T =  650.0 ps | State = DECODE | Next State = R-Type | PC = 00000018 | IR = 00010843
